Lum,BP-RP,Teff
1.922,0.955,5370.0
0.113,1.9504,3835.11
0.525,1.0524,5094.33
0.664,1.1873,4912.67
1.63,0.9655,5386.0
0.578,1.1713,4963.59
0.181,1.5526,4343.33
41.64,1.3399,4950.0
0.055,2.4274,3351.75
1.426,0.9739,5330.99
0.629,1.2177,4924.4
0.158,1.5809,4334.76
0.38,1.1828,4890.0
1.328,0.9907,5189.5
0.727,1.0593,5747.13
0.414,1.3443,4981.0
0.051,2.1918,3731.65
0.677,1.2038,4875.5
1.231,0.9547,5363.5
0.088,1.7865,4032.3
0.308,1.2306,4926.5
0.473,1.1638,4941.0
0.543,1.296,4905.25
14.616,1.474,4473.0
2.542,1.3522,4899.72
1.058,0.9668,5365.0
0.177,1.6927,4039.86
0.383,1.2451,5106.67
2.093,0.8891,5746.76
0.549,1.0479,5551.39
0.21,1.3742,4776.84
0.098,1.6416,4225.67
1.688,0.8695,5744.0
0.21,1.4073,4737.66
0.161,1.5165,4425.48
1.934,1.0379,5217.08
0.128,1.5064,4405.67
1.646,1.1483,4980.53
0.959,0.9787,5345.0
8.157,0.6687,6417.5
0.082,2.0155,3729.67
0.263,1.229,4886.0
0.433,1.0923,4876.02
0.24,1.3614,4843.18
0.541,1.2411,4881.0
0.564,1.0395,5047.08
1.916,0.6927,6343.33
0.452,1.1479,4971.5
0.389,1.1225,5183.19
0.035,2.4298,3369.0
0.62,1.2307,4920.39
1.392,1.1269,4929.79
1.194,1.072,5042.0
2.957,1.0701,5078.67
0.058,2.1838,3946.08
4.477,0.9555,5371.25
0.126,1.665,4283.5
3.032,0.9616,5374.5
0.321,1.2068,4944.67
0.215,1.321,4974.0
0.394,1.1278,4974.33
0.128,1.6712,4268.38
0.49,1.028,5100.25
0.862,1.0194,5325.41
8.714,1.3777,4974.5
0.299,1.2549,4826.48
0.211,1.4367,4421.77
0.751,1.1125,4950.5
0.102,1.8574,4012.67
0.184,1.5728,4381.71
9.131,1.4203,4695.08
0.382,1.4047,4488.62
0.317,1.3039,4866.29
0.499,1.1619,4912.75
6.499,0.7137,6307.5
2.155,1.0609,5093.67
3.329,0.902,5516.0
3.292,1.3203,4955.75
1.948,1.0824,4970.0
0.16,1.499,4494.0
0.199,1.2849,5055.0
0.298,1.2074,4925.0
0.293,1.1787,4905.43
1.766,0.9127,5457.0
0.047,2.3602,3444.25
0.053,1.9695,3868.0
0.109,1.5982,4269.58
0.075,1.9431,4069.44
0.372,1.2411,5084.33
2.943,0.9502,5334.0
0.143,1.6313,4455.67
1.227,0.9921,5129.0
0.749,1.0398,5100.5
0.801,1.0877,5022.88
0.787,1.0749,5044.2
0.306,1.3241,4888.33
0.074,2.1475,3663.21
1.371,1.1532,4927.63
0.788,1.0941,5038.12
2.057,1.0267,5222.77
2.587,1.0452,5194.0
0.039,2.1834,3620.0
0.962,1.1659,4996.24
0.224,1.4022,4498.9
0.194,1.4728,4431.0
0.839,1.0343,5171.0
0.207,1.495,4341.67
0.201,1.4629,4377.0
45.437,1.4609,4421.7
0.857,1.087,5036.73
10.742,1.3617,4982.0
0.193,1.6099,4382.0
0.144,1.7806,4024.83
0.339,1.2646,4832.88
0.829,1.2159,4851.63
0.776,1.1528,4940.5
0.342,1.4598,4421.2
0.183,1.5392,4388.0
2.074,1.0603,5068.42
0.11,2.1533,3881.17
1.861,0.9513,5406.0
0.522,1.149,5005.0
1.384,1.0962,4999.36
1.742,1.0174,5218.0
0.194,1.496,4379.06
0.225,1.3398,4873.3
0.454,1.1653,4922.71
0.291,1.4206,4660.51
0.084,1.7448,4129.12
1.594,0.9679,5359.0
0.212,1.5052,4379.67
0.188,1.3271,4985.75
0.112,1.5403,4355.45
3.846,1.2781,5034.5
2.208,0.847,5801.67
0.193,1.2231,4953.52
0.711,1.0225,5288.98
1.875,1.0315,5164.23
0.073,1.9261,3964.8
1.076,0.9362,5350.2
0.327,1.2513,4844.48
0.312,1.2087,4933.0
2.153,1.1299,4917.25
27.941,1.2793,4775.5
0.09,1.7585,4176.2
0.058,1.9219,3850.0
0.092,1.7092,4448.94
0.359,1.4175,4451.48
2.941,1.2994,4804.28
0.035,2.3093,3448.0
0.356,1.3142,4841.96
0.921,0.9998,5334.0
0.159,1.7818,3957.75
0.242,1.5942,4383.0
1.36,1.0755,5047.5
2.178,1.1439,4977.25
0.358,1.145,4984.5
0.143,1.6202,4267.25
0.107,1.7991,4234.68
0.2,1.3516,4909.67
1.563,0.9216,5361.84
0.461,1.2104,4908.67
0.515,1.2833,4834.21
1.075,1.089,5025.57
0.248,1.5265,4345.0
0.135,1.8886,4155.24
1.38,1.0589,5127.62
0.17,1.6199,4392.62
0.441,1.312,4955.5
1.703,1.3031,4885.0
0.436,1.2227,5010.0
1.443,1.0427,5324.0
1.665,1.0067,5324.0
8.773,1.238,4965.75
1.038,0.993,5176.38
0.626,1.1345,4957.33
0.832,0.9255,5421.76
0.828,1.1133,5029.0
2.864,0.9477,5334.0
2.101,0.875,6023.21
0.152,2.0353,3696.67
0.267,1.4917,4462.42
0.207,1.261,4934.44
9.884,1.1543,4905.58
0.308,1.2269,5027.33
8.054,0.6684,6478.75
30.76,0.6888,6606.75
2.147,0.9738,5331.4
0.219,1.3494,4828.74
0.135,1.8249,3961.25
0.512,1.0537,5421.93
0.075,2.0477,3745.6
0.361,1.1467,4979.32
0.128,1.596,4268.05
1.966,1.0211,5296.41
0.375,1.5566,4421.27
0.189,1.4426,4478.0
2.109,0.9457,5385.0
0.902,1.105,4934.91
0.109,1.7917,4003.75
0.394,1.1861,5024.0
0.272,1.0832,5031.61
0.159,1.5515,4271.94
0.771,1.0796,5033.64
4.748,1.1559,4923.69
0.086,1.782,4109.0
0.228,1.2783,4775.0
0.414,1.222,4882.0
1.226,0.8912,5535.54
0.132,1.7568,4066.5
0.089,1.711,4239.0
0.157,1.7314,4176.87
0.736,0.9778,5337.4
0.189,1.2897,4887.14
1.302,0.8066,5828.33
6.632,1.2357,4922.4
1.05,0.9678,5375.25
0.529,1.1409,4977.21
0.878,1.1849,4971.23
4.301,0.8996,5564.05
0.257,1.461,4413.22
1.158,1.008,5298.0
0.29,1.1732,4900.55
12.341,1.2775,5031.33
0.761,1.0454,5217.5
0.114,1.8109,3942.0
0.1,1.8398,3932.0
2.418,0.8683,5500.86
0.398,1.2746,4965.7
1.142,0.9248,5286.87
0.135,1.7024,4195.0
0.612,1.1771,4892.75
0.224,1.276,4951.91
0.395,1.1409,5052.98
0.314,1.2156,4847.88
4.646,1.3607,4970.0
0.086,1.7247,4244.0
0.716,0.9932,5259.66
1.257,1.02,5343.54
0.201,1.4877,4415.0
0.313,1.2199,4871.94
1.522,1.0083,5313.5
0.652,1.0278,5218.39
0.576,1.0883,5022.88
0.347,1.0391,5192.2
0.873,1.1163,4965.0
0.072,1.9433,3787.0
0.085,2.0692,3712.25
0.673,1.1732,4916.33
2.279,0.9291,5274.74
0.319,1.2778,4896.4
0.533,1.0211,5194.0
0.136,1.5887,4311.06
0.059,2.0022,3740.25
0.125,1.393,4853.67
0.033,2.4023,3431.0
0.132,1.6516,4205.0
0.292,1.1872,4969.51
0.463,1.2273,4866.0
17.481,1.3531,4875.48
0.982,1.0461,5197.33
0.166,1.531,4345.0
0.57,1.2516,4850.68
0.99,1.2093,4884.25
0.093,1.7329,4374.37
0.131,1.5523,4389.9
4.574,1.3738,4898.0
1.981,1.0602,5101.07
1.002,1.0411,5160.69
0.337,1.311,4726.58
0.104,1.7189,4243.0
0.093,1.8383,3995.0
1.337,0.9428,5367.0
1.18,1.09,4833.38
0.158,1.6532,4069.02
0.154,1.5992,4310.5
1.305,0.9875,5326.0
0.88,1.0896,5024.57
0.703,1.1852,4896.0
0.228,1.4206,4686.33
0.306,1.125,4973.3
0.066,2.1084,3654.0
0.946,1.1236,4974.24
2.586,1.3473,4995.0
0.148,1.9652,3968.0
0.437,1.1815,4886.75
0.295,1.1277,5059.0
0.122,1.6736,4272.67
1.646,1.1807,4894.0
0.799,1.3894,4488.3
0.532,1.1165,4974.73
1.087,1.0362,5074.0
1.257,1.0485,4995.34
3.744,1.4411,4780.33
0.08,2.0004,3679.0
0.316,1.4012,4492.79
0.557,1.2995,4997.0
0.956,1.0916,5024.05
0.309,1.4752,4455.0
0.106,1.8361,3924.56
0.157,1.5056,4434.34
0.741,0.8804,5492.0
0.118,1.625,4147.68
0.283,1.3629,4843.18
1.08,1.1411,4967.58
2.889,1.2471,5073.58
1.115,1.1211,4995.0
0.268,1.3483,4839.2
0.125,1.5208,4439.5
2.933,1.0091,5303.86
